qcs	concord	id
21	0.524	0.00000000
21	0.571	0.00000000
21	0.619	0.00000007
21	0.667	0.00000991
21	0.714	0.00143225
21	0.762	0.17186497
21	0.810	0.96777142
21	0.857	0.99976990
21	0.905	0.99999841
21	0.952	0.99999999
21	1.000	1.00000000
22	0.000	0.00000000
22	0.045	0.00000000
22	0.091	0.00000000
22	0.136	0.00000000
22	0.182	0.00000000
22	0.227	0.00000000
22	0.273	0.00000000
22	0.318	0.00000000
22	0.364	0.00000000
22	0.409	0.00000000
22	0.455	0.00000000
22	0.500	0.00000000
22	0.545	0.00000000
22	0.591	0.00000000
22	0.636	0.00000017
22	0.682	0.00002416
22	0.727	0.00348311
22	0.773	0.33587509
22	0.818	0.98651870
22	0.864	0.99990556
22	0.909	0.99999935
22	0.955	1.00000000
22	1.000	1.00000000
23	0.000	0.00000000
23	0.043	0.00000000
23	0.087	0.00000000
23	0.130	0.00000000
23	0.174	0.00000000
23	0.217	0.00000000
23	0.261	0.00000000
23	0.304	0.00000000
23	0.348	0.00000000
23	0.391	0.00000000
23	0.435	0.00000000
23	0.478	0.00000000
23	0.522	0.00000000
23	0.565	0.00000000
23	0.609	0.00000000
23	0.652	0.00000041
23	0.696	0.00005886
23	0.739	0.00844580
23	0.783	0.55206195
23	0.826	0.99442357
23	0.870	0.99996125
23	0.913	0.99999973
23	0.957	1.00000000
23	1.000	1.00000000
24	0.000	0.00000000
24	0.042	0.00000000
24	0.083	0.00000000
24	0.125	0.00000000
24	0.167	0.00000000
24	0.208	0.00000000
24	0.250	0.00000000
24	0.292	0.00000000
24	0.333	0.00000000
24	0.375	0.00000000
24	0.417	0.00000000
24	0.458	0.00000000
24	0.500	0.00000000
24	0.542	0.00000000
24	0.583	0.00000000
24	0.625	0.00000001
24	0.667	0.00000099
24	0.708	0.00014344
24	0.750	0.02033498
24	0.792	0.75021167
24	0.833	0.99770414
24	0.875	0.99998410
24	0.917	0.99999989
24	0.958	1.00000000
24	1.000	1.00000000
