ecp	concord	id
0.400	0.423	0.00000000
0.400	0.462	0.00000000
0.400	0.500	0.00000000
0.400	0.538	0.00000000
0.400	0.577	0.00000000
0.400	0.615	0.00000000
0.400	0.654	0.00000005
0.400	0.692	0.00000716
0.400	0.731	0.00106180
0.400	0.769	0.13632679
0.400	0.808	0.95908352
0.400	0.846	0.99971280
0.400	0.885	0.99999807
0.400	0.923	0.99999999
0.400	0.962	1.00000000
0.400	1.000	1.00000000
0.450	0.000	0.00000000
0.450	0.038	0.00000000
0.450	0.077	0.00000000
0.450	0.115	0.00000000
0.450	0.154	0.00000000
0.450	0.192	0.00000000
0.450	0.231	0.00000000
0.450	0.269	0.00000000
0.450	0.308	0.00000000
0.450	0.346	0.00000000
0.450	0.385	0.00000000
0.450	0.423	0.00000000
0.450	0.462	0.00000000
0.450	0.500	0.00000000
0.450	0.538	0.00000000
0.450	0.577	0.00000000
0.450	0.615	0.00000000
0.450	0.654	0.00000001
0.450	0.692	0.00000172
0.450	0.731	0.00020847
0.450	0.769	0.02460886
0.450	0.808	0.75325688
0.450	0.846	0.99730013
0.450	0.885	0.99997763
0.450	0.923	0.99999982
0.450	0.962	1.00000000
0.450	1.000	1.00000000
0.500	0.000	0.00000000
0.500	0.038	0.00000000
0.500	0.077	0.00000000
0.500	0.115	0.00000000
0.500	0.154	0.00000000
0.500	0.192	0.00000000
0.500	0.231	0.00000000
0.500	0.269	0.00000000
0.500	0.308	0.00000000
0.500	0.346	0.00000000
0.500	0.385	0.00000000
0.500	0.423	0.00000000
0.500	0.462	0.00000000
0.500	0.500	0.00000000
0.500	0.538	0.00000000
0.500	0.577	0.00000000
0.500	0.615	0.00000000
0.500	0.654	0.00000001
0.500	0.692	0.00000055
0.500	0.731	0.00005489
0.500	0.769	0.00540462
0.500	0.808	0.34979022
0.500	0.846	0.98156973
0.500	0.885	0.99981038
0.500	0.923	0.99999808
0.500	0.962	0.99999998
0.500	1.000	1.00000000
0.550	0.000	0.00000000
0.550	0.038	0.00000000
0.550	0.077	0.00000000
0.550	0.115	0.00000000
0.550	0.154	0.00000000
0.550	0.192	0.00000000
0.550	0.231	0.00000000
0.550	0.269	0.00000000
0.550	0.308	0.00000000
0.550	0.346	0.00000000
0.550	0.385	0.00000000
0.550	0.423	0.00000000
0.550	0.462	0.00000000
0.550	0.500	0.00000000
0.550	0.538	0.00000000
0.550	0.577	0.00000000
0.550	0.615	0.00000000
0.550	0.654	0.00000000
